price,volume_24h,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,timestamp
7482.05,4983410000.0,127751604305.0,-0.71,-3.23,3.15,1528122547
7482.05,4983410000.0,127751604305.0,-0.71,-3.23,3.15,1528122547
7482.05,4983410000.0,127751604305.0,-0.71,-3.23,3.15,1528122547
7492.93,5003720000.0,127938123200.0,-0.4,-3.08,3.29,1528124671
7492.59,5019260000.0,127932317866.0,-0.3,-3.08,3.29,1528124950
7492.59,5019260000.0,127932317866.0,-0.3,-3.08,3.29,1528124950
7517.23,5024440000.0,128353033842.0,0.14,-2.75,3.63,1528125052
