price,volume_24h,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,timestamp
586.197,1825930000.0,58539968323.0,-1.86,-5.67,9.8,1528122546
586.197,1825930000.0,58539968323.0,-1.86,-5.67,9.8,1528122546
586.197,1825930000.0,58539968323.0,-1.86,-5.67,9.8,1528122546
587.214,1835580000.0,58641908859.0,-1.09,-5.5,10.04,1528124670
589.349,1842180000.0,58855119844.0,-0.48,-5.15,10.45,1528124946
589.349,1842180000.0,58855119844.0,-0.48,-5.15,10.45,1528124946
589.628,1849400000.0,58882982076.0,-0.07,-5.09,10.52,1528125051
